movie_id,real_budget,real_revenue,real_profit,is_profitable,is_sequel,is_blockbuster_season,runtime,star,director,writer,rating,country,vote_count,score,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,theme_agent,theme_american,theme_brother,theme_car,theme_city,theme_daughter,theme_death,theme_director,theme_drug,theme_family,theme_father,theme_finds,theme_friend,theme_friends,theme_help,theme_high,theme_love,theme_mother,theme_murder,theme_old,theme_police,theme_relationship,theme_school,theme_secret,theme_son,theme_town,theme_true,theme_war,theme_wife,theme_years
50 first dates,124550026.46903121,329677167.791424,205127141.32239276,1,0,0,99.0,Adam Sandler,Peter Segal,George Wing,PG-13,United States,7619.0,6.869,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50/50,11158737.216540685,57655430.72254335,46496693.506002665,1,0,0,100.0,Joseph Gordon-Levitt,Jonathan Levine,Will Reiser,R,United States,2111.0,7.179,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0
500 days of summer,10968531.468531469,88918877.77529137,77950346.3067599,1,0,0,95.0,Zooey Deschanel,Marc Webb,Scott Neustadter,PG-13,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,25019018.404907975,32249828.42392638,7230810.019018404,1,0,0,93.0,Ryan Phillippe,Mark Christopher,Mark Christopher,R,United States,511.0,5.859,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 heads in a duffel bag,5863551.401869159,7041898.509657321,1178347.1077881614,1,0,0,95.0,Joe Pesci,Tom Schulman,Tom Schulman,R,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 mile,71493607.55975541,423512573.47748744,352018965.917732,1,0,0,110.0,Eminem,Curtis Hanson,Scott Silver,R,United States,7718.0,7.142,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8 million ways to die,51520072.992700726,3735531.585766423,-47784541.406934306,0,0,0,115.0,Jeff Bridges,Hal Ashby,Lawrence Block,R,United States,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 seconds,14817139.001349527,41537512.315789476,26720373.31443995,1,0,0,105.0,Luke Perry,John G. Avildsen,Monte Merrick,PG-13,United States,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88 minutes,43711100.78959591,47489757.893636785,3778657.104040876,1,0,0,108.0,Al Pacino,Jon Avnet,Gary Scott Thompson,R,United States,1162.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8mm,75318127.25090036,181928486.652461,106610359.40156063,1,0,0,123.0,Nicolas Cage,Joel Schumacher,Andrew Kevin Walker,R,Germany,2211.0,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,43874125.874125876,70824631.06340326,26950505.18927739,1,0,0,79.0,Elijah Wood,Shane Acker,Pamela Pettler,PG-13,United States,69.0,5.848,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9 to 5,38070388.34951456,393269723.27912617,355199334.9296116,1,0,0,109.0,Jane Fonda,Colin Higgins,Patricia Resnick,PG,United States,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
